,Address,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
79,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
80,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
81,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
82,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
83,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
84,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
85,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
86,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
87,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
88,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
89,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
90,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
91,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
92,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
93,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
94,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
95,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
96,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
97,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
98,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
99,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
100,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
101,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
102,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
103,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
104,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
105,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
106,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
107,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
108,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
109,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
110,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
111,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
112,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
113,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
114,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
115,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
116,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
117,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
118,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
119,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
120,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
121,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
122,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
123,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
124,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
125,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
126,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
127,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
128,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
129,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
130,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
131,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
132,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
133,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
134,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
135,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
136,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
137,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
138,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
139,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
140,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
141,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
142,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
143,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
144,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
145,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
146,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
147,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
148,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
149,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
150,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
151,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
152,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
153,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
154,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
155,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
156,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
157,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
158,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
159,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
160,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
161,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
162,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
163,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
164,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
165,"1003 N Elm St, Champaign, IL 61820",795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795
166,"202 1/2 Birch St, Champaign, IL 61820",795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795
167,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040
168,"3763 Harbor Estates Ln #1, Champaign, IL 61822",925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925
169,"1725 Robert Dr APT 2, Champaign, IL 61821",1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122
170,"23 Barney St #65, Bondville, IL 61815",1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100
