,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
210,2,1,0,5,7,925,925,925
211,2,4,0,5,7,1122,1122,1122
212,2,10,0,7,8,1100,1100,1100
213,2,12,0,7,8,795,795,795
214,2,12,0,5,7,795,795,795
215,2,15,0,8,9,1040,1040,1040
216,2,1,0,5,7,925,925,925
217,2,4,0,5,7,1122,1122,1122
218,2,10,0,7,8,1100,1100,1100
219,2,12,0,7,8,795,795,795
220,2,12,0,5,7,795,795,795
221,2,15,0,8,9,1040,1040,1040
222,2,1,0,5,7,925,925,925
223,2,4,0,5,7,1122,1122,1122
224,2,10,0,7,8,1100,1100,1100
225,2,12,0,7,8,795,795,795
226,2,12,0,5,7,795,795,795
227,2,15,0,8,9,1040,1040,1040
228,2,1,0,5,7,925,925,925
229,2,4,0,5,7,1122,1122,1122
230,2,10,0,7,8,1100,1100,1100
231,2,12,0,7,8,795,795,795
232,2,12,0,5,7,795,795,795
233,2,15,0,8,9,1040,1040,1040
234,2,1,0,5,7,925,925,925
235,2,4,0,5,7,1122,1122,1122
236,2,10,0,7,8,1100,1100,1100
237,2,12,0,7,8,795,795,795
238,2,12,0,5,7,795,795,795
239,2,15,0,8,9,1040,1040,1040
240,2,1,0,5,7,925,925,925
241,2,4,0,5,7,1122,1122,1122
242,2,10,0,7,8,1100,1100,1100
243,2,12,0,7,8,795,795,795
244,2,12,0,5,7,795,795,795
245,2,15,0,8,9,1040,1040,1040
246,2,1,0,5,7,925,925,925
247,2,4,0,5,7,1122,1122,1122
248,2,10,0,7,8,1100,1100,1100
249,2,12,0,7,8,795,795,795
250,2,12,0,5,7,795,795,795
251,2,15,0,8,9,1040,1040,1040
252,2,1,0,5,7,925,925,925
253,2,4,0,5,7,1122,1122,1122
254,2,10,0,7,8,1100,1100,1100
255,2,12,0,7,8,795,795,795
256,2,12,0,5,7,795,795,795
257,2,15,0,8,9,1040,1040,1040
258,2,1,0,5,7,925,925,925
259,2,4,0,5,7,1122,1122,1122
260,2,10,0,7,8,1100,1100,1100
261,2,12,0,7,8,795,795,795
262,2,12,0,5,7,795,795,795
263,2,15,0,8,9,1040,1040,1040
264,2,1,0,5,7,925,925,925
265,2,4,0,5,7,1122,1122,1122
266,2,10,0,7,8,1100,1100,1100
267,2,12,0,7,8,795,795,795
268,2,12,0,5,7,795,795,795
269,2,15,0,8,9,1040,1040,1040
270,2,1,0,5,7,925,925,925
271,2,4,0,5,7,1122,1122,1122
272,2,10,0,7,8,1100,1100,1100
273,2,12,0,7,8,795,795,795
274,2,12,0,5,7,795,795,795
275,2,15,0,8,9,1040,1040,1040
276,2,1,0,5,7,925,925,925
277,2,4,0,5,7,1122,1122,1122
278,2,10,0,7,8,1100,1100,1100
279,2,12,0,7,8,795,795,795
280,2,12,0,5,7,795,795,795
281,2,15,0,8,9,1040,1040,1040
282,2,1,0,5,7,925,925,925
283,2,4,0,5,7,1122,1122,1122
284,2,10,0,7,8,1100,1100,1100
285,2,12,0,7,8,795,795,795
286,2,12,0,5,7,795,795,795
287,2,15,0,8,9,1040,1040,1040
288,2,1,0,5,7,925,925,925
289,2,4,0,5,7,1122,1122,1122
290,2,10,0,7,8,1100,1100,1100
291,2,12,0,7,8,795,795,795
292,2,12,0,5,7,795,795,795
293,2,15,0,8,9,1040,1040,1040
294,0,13,0,2,8,1040,1495,1267.5
295,0,11,0,2,9,724,1619,1171.5
296,0,13,0,2,8,980,1515,1247.5
297,0,2,0,8,9,2380,2380,2380
298,0,5,0,2,7,585,665,625
299,0,13,1,2,7,550,981,765.5
300,0,3,0,4,8,1850,2775,2312.5
